,msd_id,echo_nest_id,artist,title,peak,weeks
0,TRMMWJS12903CBB7F5,SOLBDWO12AB0188CC2,Aerosmith,Remember (Walking In The Sand),6,67
1,TRMMCDR128F423AB03,SOSZNRJ12A8AE46E38,Michael Cera & Ellen Page,Anyone Else But You,2,91
2,TRMMRUB12903CA097C,SOGDEWJ12AB0184C06,Brook Benton,Lie To Me,10,13
3,TRQUXGC128F92D6246,SOGJVWD12A58A7F18D,Brook Benton,Lie To Me,10,13
4,TRMMFIS128E078EDEA,SOYURIX12A6701E960,Aerosmith,Cryin',26,12
5,TRLUFYA128E078ECE3,SOMUMTW12A6701C7B8,Aerosmith,Cryin',26,12
6,TREWLKP128E078ED1F,SOIIPYT12CF5F888DB,Aerosmith,Cryin',26,12
7,TRMMNZH128F92CF7D0,SOXCAWC12A8C144428,Buster Brown,Sugar Babe,2,99
8,TRMMPDJ128F429472E,SOJWEBW12A8C13AEEC,Little River Band,Help Is On Its Way,22,14
9,TRCPTEK128F932CE8C,SOOJYGI12AB01872CC,Little River Band,Help Is On Its Way,22,14
10,TRMMUIL128F1463720,SOSRKLH12CF5F88723,Eric Clapton,After Midnight,12,18
11,TRBOFYN128E078EFA7,SOIFZYZ12A67021376,702,Steelo,20,32
12,TRMMEWQ128F4292A1F,SOCFKHP12A8C13B931,Lou Reed,Walk On The Wild Side,14,16
13,TRRVUFL128F4284DC5,SOFJXWR12A8C136C35,Lou Reed,Walk On The Wild Side,14,16
14,TRERKSA128F42AC20E,SOPNVHF12AB0183F27,Lou Reed,Walk On The Wild Side,14,16
15,TRXUTPJ128F4292FC1,SOAXPWP12A8C13BA96,Lou Reed,Walk On The Wild Side,14,16
16,TRGEGUH12903CD7560,SONCNYQ12AB01883D2,ZZ Top,Sharp Dressed Man,9,56
17,TRTEEXF128F92E26B6,SOVXASD12AB01830B0,ZZ Top,Sharp Dressed Man,9,56
18,TRMMDVB12903CE2FF6,SOVHIAK12A8C144F9C,Craig Morgan,Redneck Yacht Club,19,45
19,TRMWMQX12903CC07B9,SOFYPIA12AB018C167,Thelma Houston,Don't Leave Me This Way,24,1
20,TRMGQAF128E078E635,SOEQPPC12A8C143386,Thelma Houston,Don't Leave Me This Way,24,1
21,TRRXXYN128F9317B93,SOTVBJI12AB017E586,Thelma Houston,Don't Leave Me This Way,24,1
22,TRADTCD128F93358C5,SOSGBVC12A6701E30C,Thelma Houston,Don't Leave Me This Way,24,1
23,TRNMMVQ128F4259758,SONFXEY12A8C137E28,Thelma Houston,Don't Leave Me This Way,24,1
24,TREIXUS128F1474B27,SOYKUPI12A6D4F60C6,Thelma Houston,Don't Leave Me This Way,24,1
25,TRJLQVP128F931F784,SOGZQCP12AB018060B,Thelma Houston,Don't Leave Me This Way,24,1
26,TROZUUO128F932F98B,SOFUQZP12AB017E1AB,Thelma Houston,Don't Leave Me This Way,24,1
27,TRMWMAY128F42895B1,SOLUYLK12A8C137F43,Eddy Arnold,Make The World Go Away,14,6
28,TRDSOOD128F429E94B,SOGZINP12A8C13D654,Eddy Arnold,Make The World Go Away,14,6
29,TRMWWHN128F426758F,SOLOYAW12A8C138063,Atlanta Rhythm Section,Spooky,14,17
30,TREKVBR128F145E748,SOZNNSP12A6D4F8109,Atlanta Rhythm Section,Spooky,14,17
31,TRMWWOG128F9312B0F,SOADMPA12AB018737C,Wayne Newton,Years,13,35
32,TRMWGCP128F145841D,SOUQHTP12A6D4F7E73,Maxi Priest,Wild World,18,25
33,TRSBWUX128F14585AC,SOKXDOD12A6D4F78D1,Maxi Priest,Wild World,18,25
34,TRXBEKR128E0788DC8,SOXHUFQ12A670209F7,Maxi Priest,Wild World,18,25
35,TRMWBBX128F930100E,SOMNSXV12A8C14184B,Jody Reynolds,Endless Sleep,6,17
36,TRJJWQF12903CD4E25,SOVKHEU12A58A79345,Jody Reynolds,Endless Sleep,6,17
37,TRKCDMB12903CD74E0,SOOGHEV12AB0187FBE,Jody Reynolds,Endless Sleep,6,17
