,msd_id,echo_nest_id,artist,title,peak,weeks
0,TRMMWJS12903CBB7F5,SOLBDWO12AB0188CC2,Aerosmith,Remember (Walking In The Sand),6,67
1,TRMMCDR128F423AB03,SOSZNRJ12A8AE46E38,Michael Cera & Ellen Page,Anyone Else But You,2,91
2,TRMMRUB12903CA097C,SOGDEWJ12AB0184C06,Brook Benton,Lie To Me,10,13
3,TRQUXGC128F92D6246,SOGJVWD12A58A7F18D,Brook Benton,Lie To Me,10,13
4,TRMMFIS128E078EDEA,SOYURIX12A6701E960,Aerosmith,Cryin',26,12
5,TRAYKOC128F930D2B8,SOMUMTW12A6701C7B8,Aerosmith,Cryin',26,12
6,TRLUFYA128E078ECE3,SOMUMTW12A6701C7B8,Aerosmith,Cryin',26,12
7,TREWLKP128E078ED1F,SOIIPYT12CF5F888DB,Aerosmith,Cryin',26,12
8,TRMMQDL128F424272B,SONFGYH12AF72A0C0B,Ambrosia,Holdin' On To Yesterday,14,17
9,TRQNRFC128F934AB98,SOGLWHW12A58A80D13,Ambrosia,Holdin' On To Yesterday,14,17
10,TRMMNZH128F92CF7D0,SOXCAWC12A8C144428,Buster Brown,Sugar Babe,2,99
11,TRMMPDJ128F429472E,SOJWEBW12A8C13AEEC,Little River Band,Help Is On Its Way,22,14
12,TRCPTEK128F932CE8C,SOOJYGI12AB01872CC,Little River Band,Help Is On Its Way,22,14
13,TRMMPGW128F426B583,SOZBUOS12A8C134927,Cheap Trick,Stop This Game,12,48
14,TRMMUIL128F1463720,SOSRKLH12CF5F88723,Eric Clapton,After Midnight,12,18
15,TRMMLUW128E078EF9E,SOJLIQT12A6702136D,702,Steelo,20,32
16,TRBOFYN128E078EFA7,SOIFZYZ12A67021376,702,Steelo,20,32
17,TRMMEWQ128F4292A1F,SOCFKHP12A8C13B931,Lou Reed,Walk On The Wild Side,14,16
18,TRRVUFL128F4284DC5,SOFJXWR12A8C136C35,Lou Reed,Walk On The Wild Side,14,16
19,TRERKSA128F42AC20E,SOPNVHF12AB0183F27,Lou Reed,Walk On The Wild Side,14,16
20,TRXUTPJ128F4292FC1,SOAXPWP12A8C13BA96,Lou Reed,Walk On The Wild Side,14,16
21,TRMMSSG128F92C6877,SOTKCJD12AF729F372,ZZ Top,Sharp Dressed Man,9,56
22,TRGEGUH12903CD7560,SONCNYQ12AB01883D2,ZZ Top,Sharp Dressed Man,9,56
23,TRTEEXF128F92E26B6,SOVXASD12AB01830B0,ZZ Top,Sharp Dressed Man,9,56
24,TRMMDVB12903CE2FF6,SOVHIAK12A8C144F9C,Craig Morgan,Redneck Yacht Club,19,45
25,TRMWMQX12903CC07B9,SOFYPIA12AB018C167,Thelma Houston,Don't Leave Me This Way,24,1
26,TRMGQAF128E078E635,SOEQPPC12A8C143386,Thelma Houston,Don't Leave Me This Way,24,1
27,TRRHAYU128F9322C11,SOQUGSZ12A8AE47535,Thelma Houston,Don't Leave Me This Way,24,1
28,TRRXXYN128F9317B93,SOTVBJI12AB017E586,Thelma Houston,Don't Leave Me This Way,24,1
29,TRFNRVA12903CC07CC,SOXVCRS12AB018C19B,Thelma Houston,Don't Leave Me This Way,24,1
30,TRADTCD128F93358C5,SOSGBVC12A6701E30C,Thelma Houston,Don't Leave Me This Way,24,1
31,TRNMMVQ128F4259758,SONFXEY12A8C137E28,Thelma Houston,Don't Leave Me This Way,24,1
32,TREIXUS128F1474B27,SOYKUPI12A6D4F60C6,Thelma Houston,Don't Leave Me This Way,24,1
33,TRJLQVP128F931F784,SOGZQCP12AB018060B,Thelma Houston,Don't Leave Me This Way,24,1
34,TRDFWLL128F93003C4,SOLGVNH12AB0185023,Thelma Houston,Don't Leave Me This Way,24,1
35,TROZUUO128F932F98B,SOFUQZP12AB017E1AB,Thelma Houston,Don't Leave Me This Way,24,1
36,TRMWMAY128F42895B1,SOLUYLK12A8C137F43,Eddy Arnold,Make The World Go Away,14,6
