,msd_id,echo_nest_id,artist,title,year,peak,weeks
0,TRMMWJS12903CBB7F5,SOLBDWO12AB0188CC2,Aerosmith,Remember (Walking In The Sand),1979,6,67
1,TRMMCDR128F423AB03,SOSZNRJ12A8AE46E38,Michael Cera & Ellen Page,Anyone Else But You,2007,2,91
2,TRMMRUB12903CA097C,SOGDEWJ12AB0184C06,Brook Benton,Lie To Me,1986,10,13
3,TRQUXGC128F92D6246,SOGJVWD12A58A7F18D,Brook Benton,Lie To Me,1986,10,13
4,TRMMFIS128E078EDEA,SOYURIX12A6701E960,Aerosmith,Cryin',1993,26,12
5,TRAYKOC128F930D2B8,SOMUMTW12A6701C7B8,Aerosmith,Cryin',1993,26,12
6,TRLUFYA128E078ECE3,SOMUMTW12A6701C7B8,Aerosmith,Cryin',1993,26,12
7,TREWLKP128E078ED1F,SOIIPYT12CF5F888DB,Aerosmith,Cryin',1993,26,12
8,TRMMNZH128F92CF7D0,SOXCAWC12A8C144428,Buster Brown,Sugar Babe,2002,2,99
9,TRMMPDJ128F429472E,SOJWEBW12A8C13AEEC,Little River Band,Help Is On Its Way,1980,22,14
10,TRCPTEK128F932CE8C,SOOJYGI12AB01872CC,Little River Band,Help Is On Its Way,1980,22,14
11,TRMMPGW128F426B583,SOZBUOS12A8C134927,Cheap Trick,Stop This Game,1994,12,48
12,TRMMUIL128F1463720,SOSRKLH12CF5F88723,Eric Clapton,After Midnight,1970,12,18
13,TRMMLUW128E078EF9E,SOJLIQT12A6702136D,702,Steelo,1996,20,32
14,TRBOFYN128E078EFA7,SOIFZYZ12A67021376,702,Steelo,1996,20,32
15,TRMMEWQ128F4292A1F,SOCFKHP12A8C13B931,Lou Reed,Walk On The Wild Side,1972,14,16
16,TRRVUFL128F4284DC5,SOFJXWR12A8C136C35,Lou Reed,Walk On The Wild Side,1972,14,16
17,TRERKSA128F42AC20E,SOPNVHF12AB0183F27,Lou Reed,Walk On The Wild Side,1972,14,16
18,TRXUTPJ128F4292FC1,SOAXPWP12A8C13BA96,Lou Reed,Walk On The Wild Side,1972,14,16
19,TRMMSSG128F92C6877,SOTKCJD12AF729F372,ZZ Top,Sharp Dressed Man,1983,9,56
20,TRGEGUH12903CD7560,SONCNYQ12AB01883D2,ZZ Top,Sharp Dressed Man,1983,9,56
21,TRTEEXF128F92E26B6,SOVXASD12AB01830B0,ZZ Top,Sharp Dressed Man,1983,9,56
22,TRMMDVB12903CE2FF6,SOVHIAK12A8C144F9C,Craig Morgan,Redneck Yacht Club,2005,19,45
23,TRMWMQX12903CC07B9,SOFYPIA12AB018C167,Thelma Houston,Don't Leave Me This Way,1976,24,1
24,TRMGQAF128E078E635,SOEQPPC12A8C143386,Thelma Houston,Don't Leave Me This Way,1976,24,1
25,TRRHAYU128F9322C11,SOQUGSZ12A8AE47535,Thelma Houston,Don't Leave Me This Way,1976,24,1
26,TRRXXYN128F9317B93,SOTVBJI12AB017E586,Thelma Houston,Don't Leave Me This Way,1976,24,1
27,TRFNRVA12903CC07CC,SOXVCRS12AB018C19B,Thelma Houston,Don't Leave Me This Way,1976,24,1
28,TRADTCD128F93358C5,SOSGBVC12A6701E30C,Thelma Houston,Don't Leave Me This Way,1976,24,1
29,TRNMMVQ128F4259758,SONFXEY12A8C137E28,Thelma Houston,Don't Leave Me This Way,1976,24,1
30,TREIXUS128F1474B27,SOYKUPI12A6D4F60C6,Thelma Houston,Don't Leave Me This Way,1976,24,1
31,TRJLQVP128F931F784,SOGZQCP12AB018060B,Thelma Houston,Don't Leave Me This Way,1976,24,1
32,TRDFWLL128F93003C4,SOLGVNH12AB0185023,Thelma Houston,Don't Leave Me This Way,1976,24,1
33,TROZUUO128F932F98B,SOFUQZP12AB017E1AB,Thelma Houston,Don't Leave Me This Way,1976,24,1
34,TRMWMAY128F42895B1,SOLUYLK12A8C137F43,Eddy Arnold,Make The World Go Away,1965,14,6
35,TRDSOOD128F429E94B,SOGZINP12A8C13D654,Eddy Arnold,Make The World Go Away,1965,14,6
36,TRMWWHN128F426758F,SOLOYAW12A8C138063,Atlanta Rhythm Section,Spooky,1983,14,17
37,TRASCFR128F427E9B1,SOMZVGU12A8C13D3EF,Atlanta Rhythm Section,Spooky,1983,14,17
38,TREKVBR128F145E748,SOZNNSP12A6D4F8109,Atlanta Rhythm Section,Spooky,1983,14,17
39,TRMWWOG128F9312B0F,SOADMPA12AB018737C,Wayne Newton,Years,1990,13,35
40,TRMWGCP128F145841D,SOUQHTP12A6D4F7E73,Maxi Priest,Wild World,1987,18,25
41,TRSBWUX128F14585AC,SOKXDOD12A6D4F78D1,Maxi Priest,Wild World,1987,18,25
42,TRXBEKR128E0788DC8,SOXHUFQ12A670209F7,Maxi Priest,Wild World,1987,18,25
43,TRMWBBX128F930100E,SOMNSXV12A8C14184B,Jody Reynolds,Endless Sleep,1958,6,17
44,TRJJWQF12903CD4E25,SOVKHEU12A58A79345,Jody Reynolds,Endless Sleep,1958,6,17
45,TRKCDMB12903CD74E0,SOOGHEV12AB0187FBE,Jody Reynolds,Endless Sleep,1958,6,17
46,TRMWQWJ128F425A43C,SOBVNFB12A8AE47215,Annie Lennox,Why,1992,20,34
47,TRMWZVX12903CE4EE3,SOFOSAP12A8C13AAD8,The Troggs,Wild Thing,1966,11,1
48,TRBAKTC128F93358D6,SOZWPYW12A6701CE23,The Troggs,Wild Thing,1966,11,1
49,TRQZFHF12903CDF84C,SOZTJKZ12A3F1EACFE,The Troggs,Wild Thing,1966,11,1
50,TRZMUFW128F9309678,SOOKMRW12A582A27CD,The Troggs,Wild Thing,1966,11,1
51,TRNOCSI12903CC5DFB,SODDXKK12A6701F09D,The Troggs,Wild Thing,1966,11,1
52,TRMWTDT128F9341FB2,SOLCKPL12AB018488F,Foo Fighters,DOA,2005,12,68
53,TRLPCKY128F42ACFB8,SOUBTIQ12A8C13E39A,Foo Fighters,DOA,2005,12,68
54,TREYOXS128F42AF3E2,SOKYPQN12AF72A1F53,Foo Fighters,DOA,2005,12,68
55,TRMWUXD128E0794FA9,SODKTBI12AF72A495A,Sting,Englishman In New York,1987,4,84
56,TRMWJGD128F14570E2,SOTRBLC12A58A7D18E,Helen Reddy,Ain't No Way To Treat A Lady,1987,16,8
57,TRMWDDD128F92E1ECF,SOFVBVA12A8AE484E7,Will Young,Leave Right Now,2003,81,81
58,TRMWOJA128F148C010,SOBMXKJ12A6D4F8297,Onyx,Throw Ya Gunz,1993,3,81
59,TRMWOEB128F426AB59,SOTYJNI12D021B3C4C,Roy Orbison,Crying,1962,16,2
60,TRPWQUO12903CD9A5A,SOMBUSW12D021B3214,Roy Orbison,Crying,1962,16,2
61,TRMWXEM128F429D851,SOYNWBC12A8C13E6AD,The Mamas & The Papas,Do You Wanna Dance,1966,5,76
62,TRHFZYD128E078A344,SORMZCI12A6D4F9D4E,The Mamas & The Papas,Do You Wanna Dance,1966,5,76
63,TREWMNP128E07918DF,SOBIQTX12A6310D7C6,The Mamas & The Papas,Do You Wanna Dance,1966,5,76
64,TRMWYUT128F426A835,SOEHVLQ12A8C134E88,Boston,More Than A Feeling,1975,19,5
65,TRMPEEV128F42BB91B,SOYZGFI12A8C137573,Boston,More Than A Feeling,1975,19,5
66,TRGNOKI128F425D5A8,SOYPYOT12A8AE47DEF,Boston,More Than A Feeling,1975,19,5
67,TRFTYHU128F92DF69A,SOWBAFC12A8C143A7E,Boston,More Than A Feeling,1975,19,5
68,TRZVYHZ128F92F278A,SOGKLRF12A8C135B5E,Boston,More Than A Feeling,1975,19,5
69,TRIERBF12903CCDB01,SOHWDKC12A8C141A05,Boston,More Than A Feeling,1975,19,5
70,TRNKXQU128F4270911,SOFVZJB12A8AE45278,Boston,More Than A Feeling,1975,19,5
71,TRUSYHF128F4264FE2,SOBDKYF12A8C133CA5,Boston,More Than A Feeling,1975,19,5
72,TRVUXYR128F92FC6D9,SOJIZXT12A8C143A12,Boston,More Than A Feeling,1975,19,5
73,TRDOXVN12903CD0B3D,SOFZITL12A8C1392E7,Boston,More Than A Feeling,1975,19,5
74,TRYSFAY12903CECB7D,SONIAKP12A8C130514,Boston,More Than A Feeling,1975,19,5
75,TRMGMJL128F427E90E,SOVVSAI12D021931C3,Luther Vandross,Heaven Knows,1993,3,94
76,TRMGWBO128F428A374,SOJPMXC12A58A7C2BA,Martina McBride,Blessed,2001,20,31
77,TRMGHDK128F42891A9,SOUJMOE12A8C138654,A Flock Of Seagulls,Space Age Love Song,1982,18,30
78,TRPLKPM128F42A631E,SOODQGR12AF729FA52,A Flock Of Seagulls,Space Age Love Song,1982,18,30
79,TRMGRML128F425E8B0,SOODVRS12CF5F870B2,Britney Spears,Break The Ice,2007,17,43
80,TRFWAXG128F92F3FFF,SOVBSAC12AAF3B1E01,Britney Spears,Break The Ice,2007,17,43
81,TRAODGF128F92F3FF9,SOSCFCE12AAF3B1DE5,Britney Spears,Break The Ice,2007,17,43
82,TRLHEVM128F9323439,SOZNLXG12AB0180FF1,Britney Spears,Break The Ice,2007,17,43
83,TRMGFHZ128F92F7484,SOGCPCH12AB0180875,Bobby Vee,Rubber Ball,1984,14,6
84,TRCAVRT12903CCC673,SODSFZN12AB0186857,Bobby Vee,Rubber Ball,1984,14,6
85,TRPZZWU128F1459680,SOJNPJP12A6D4F759A,Bobby Vee,Rubber Ball,1984,14,6
86,TRUYRLF12903C973F3,SOAEPTM12AB0187101,Bobby Vee,Rubber Ball,1984,14,6
87,TRMGQBY128F1474B22,SOTGTJV12A6D4F8B4E,Jr. Walker & The All Stars,Cleo's Back,1965,8,43
88,TRUEKUE128F932280B,SOCWCTH12A58A7AAC1,Jr. Walker & The All Stars,Cleo's Back,1965,8,43
89,TRMGQWD128F4269F46,SOHVUZY12A8C133AA1,Bone Thugs-N-Harmony,Tha Crossroads,1995,20,1
90,TRMGAHV128F14580A5,SOPDSCU12A58A7BFEF,Freddie Mercury,Love Kills,1984,6,69
91,TRMGPEE128F4288A71,SOGVBTG12A8C13F799,Ann Peebles,I Can't Stand The Rain,1974,21,38
92,TRAFOOJ128F92E73A4,SODGTDQ12AAF3B477A,Ann Peebles,I Can't Stand The Rain,1974,21,38
93,TRNQDNS128F92D146F,SOBYMHJ12A8C141F62,Ann Peebles,I Can't Stand The Rain,1974,21,38
94,TRDWOPL128F92CFEB0,SOGUEBL12A8C141FF6,Ann Peebles,I Can't Stand The Rain,1974,21,38
95,TRMGTWK128F4271E2C,SOQXHYA12A8C1344C5,Sophie B. Hawkins,Damn I Wish I Was Your Lover,1992,21,5
96,TRGRQST12903D0509E,SOECLMJ12AB0182311,Sophie B. Hawkins,Damn I Wish I Was Your Lover,1992,21,5
97,TRCCOZQ128F426665E,SOHYZWF12A8C13310D,Sophie B. Hawkins,Damn I Wish I Was Your Lover,1992,21,5
98,TRMGSBN128F931A062,SOHRGZX12AB0182E6F,Frankie Goes To Hollywood,Relax,1983,23,10
99,TRQKITP128F428E430,SOQVBCG12A58A7BF9F,Frankie Goes To Hollywood,Relax,1983,23,10
100,TRZWJEQ128F428E03D,SOJLRPG12A8C139C37,Frankie Goes To Hollywood,Relax,1983,23,10
101,TRZVSIO128F428E536,SOZFYTZ12AB018565D,Frankie Goes To Hollywood,Relax,1983,23,10
102,TRLEFXF128F428E555,SOIHABE12A8C13D492,Frankie Goes To Hollywood,Relax,1983,23,10
103,TRJKGWS128F428E544,SOMOCZT12A8C13C443,Frankie Goes To Hollywood,Relax,1983,23,10
104,TRSQKHQ128F428E03C,SOFEVEK12A8C139C35,Frankie Goes To Hollywood,Relax,1983,23,10
105,TRDVDOS128F9319F41,SOZXIAK12AB017DB74,Frankie Goes To Hollywood,Relax,1983,23,10
106,TRONPUY128F428E566,SORFQTT12A8C13D4DD,Frankie Goes To Hollywood,Relax,1983,23,10
107,TRXSXIE128F931A05B,SOJKHAN12AB017DB7B,Frankie Goes To Hollywood,Relax,1983,23,10
108,TRKKCXB128F428E03B,SOLFYXW12A8C139C34,Frankie Goes To Hollywood,Relax,1983,23,10
109,TRYLMXO128F9319F33,SOIRLWV12AB01822AD,Frankie Goes To Hollywood,Relax,1983,23,10
110,TRMGSBG128F429F025,SOWAHPT12A8C13CCA0,George McCrae,Rock Your Baby,1974,17,1
111,TRZVNEM128EF351A49,SOCJYXH12A6D223C21,George McCrae,Rock Your Baby,1974,17,1
112,TRNOAGG12903CBB894,SOUSTWQ12AB01896F9,George McCrae,Rock Your Baby,1974,17,1
113,TRPPERL128F146143C,SOJJBXY12A6D4F7A61,George McCrae,Rock Your Baby,1974,17,1
114,TREXNMH12903CDEFAA,SOPLBTJ12AB0189735,George McCrae,Rock Your Baby,1974,17,1
115,TRJLCUH128F93200CD,SOQRXGL12A58A7E9E5,George McCrae,Rock Your Baby,1974,17,1
116,TROYCHH12903CBB886,SOUJGOU12AB01896DC,George McCrae,Rock Your Baby,1974,17,1
117,TRKZUHX128F930DCA1,SORDDZK12AB0180B7A,George McCrae,Rock Your Baby,1974,17,1
118,TRMGXPF128F145678C,SOSHFXW12A6D4F7A44,Shai,Comforter,1992,24,10
119,TRMGYVB128F9322818,SOPNLBP12AB0187939,Jr. Walker & The All Stars,Way Back Home,1971,9,52
120,TRRBKZR128F932F32E,SOYMCXI12AB0183296,Jr. Walker & The All Stars,Way Back Home,1971,9,52
121,TRFVCSR128F146E2CC,SOVUQYH12A6D4F8193,Jr. Walker & The All Stars,Way Back Home,1971,9,52
122,TRYDISQ128F932F330,SONLRBA12AB01846CB,Jr. Walker & The All Stars,Way Back Home,1971,9,52
123,TRMGYEC128F14A2B40,SOKFJDC12A6D4FB161,The Doobie Brothers,What A Fool Believes,1978,20,1
124,TRMHWMW128F4242DE6,SONXVIY12A8C134EA9,Toby Keith,Country Comes To Town,1999,15,54
125,TRJQQCF128F148CF1B,SOTRZOM12CF5CFD674,Toby Keith,Country Comes To Town,1999,15,54
126,TRMHWDO128F931C671,SOHAAGT12AB018101C,The Yardbirds,Over Under Sideways Down,1966,11,13
127,TRAOSHM128F930DDA0,SOZGVWT12AB018174A,The Yardbirds,Over Under Sideways Down,1966,11,13
128,TRXDACZ128F426CFA8,SORTEVC12A8C136195,The Yardbirds,Over Under Sideways Down,1966,11,13
129,TRMHWMV12903D10BC9,SOFQKUE12AC468E22B,Sir Douglas Quintet,Mendocino,1969,15,27
130,TRMHWRC12903CEDC11,SOPZSJQ12A58A7B69B,The Crests,Six Nights A Week,1990,13,28
131,TRMHWMG128F428A57B,SODTKRU12A8C139C75,Lorne Greene,Ringo,1988,12,1
132,TRMHGPF128F426BE7F,SONMWXV12AB01803B4,Jonas Brothers,Year 3000,2006,9,31
133,TRMHGEW12903CC1516,SOKGRCB12A8C14135B,First Class,Beach Baby,1974,17,4
134,TRRCVPK128F935A33B,SONNXHG12AB018B97D,First Class,Beach Baby,1974,17,4
135,TRRXLJG128F92DF650,SOVVTNH12A8C1456F3,First Class,Beach Baby,1974,17,4
136,TRJZDCB128F92D0B19,SOYBFAM12A8C141C92,First Class,Beach Baby,1974,17,4
137,TROWBAC12903D057B3,SONOIDE12AC4689820,First Class,Beach Baby,1974,17,4
138,TRMHCJO128F424A38B,SOZZBBH12A8C133B6D,Sammi Smith,I've Got To Have You,1972,7,77
139,TRBOCBM12903CB55CF,SOFLNZB12AB018D2D8,Sammi Smith,I've Got To Have You,1972,7,77
140,TRMHFMC128F425D630,SOMMOJQ12AF72A1D07,Tammy Wynette,Stand By Your Man,1968,16,19
141,TRFNZMP128F42796B3,SOOSFAQ12A58A79BBD,Tammy Wynette,Stand By Your Man,1968,16,19
142,TRACLRS12903CE9386,SOLHVZC12A8C14307F,Tammy Wynette,Stand By Your Man,1968,16,19
143,TRMHQXM128F92F2E8E,SOEYBJZ12AF729C4E3,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,1999,17,1
144,TRBBEBZ128F426B298,SOGVHFF12A8C134C3A,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,1999,17,1
145,TRMHSMC128F4270AC4,SOHYUXD12A8C13495D,The Intruders,(We'll Be) United,1967,6,78
146,TROTSES128F42722E3,SOOTKWS12A8C13643D,The Intruders,(We'll Be) United,1967,6,78
147,TRMHDLB128F148BF08,SOBYDHI12A6D4F8232,Rihanna,Unfaithful,2006,20,6
148,TRMATXT128F147B2A9,SOESTAK12A6D4F5819,Rihanna,Unfaithful,2006,20,6
149,TRMYAMQ128F933A9B6,SONZHOB12A8C13DCF1,Rihanna,Unfaithful,2006,20,6
150,TRQJVND128F1480963,SOENOTV12A6D4F84FB,Rihanna,Unfaithful,2006,20,6
151,TRTSIVY128F933A9AA,SOGYRGC12AB0182E32,Rihanna,Unfaithful,2006,20,6
152,TRSOZUD128F1481972,SOVDCEP12A6D4F7FF8,Rihanna,Unfaithful,2006,20,6
153,TRYJOFC128F42A80C1,SOBPXVM12A8C13CC29,Rihanna,Unfaithful,2006,20,6
154,TRMHXBU128F932A16D,SOPKTEV12A8C141E33,Jonas Brothers,Burnin' Up,2008,16,5
155,TRVOAPO128F93098CE,SOOOMAH12AB0184C49,Jonas Brothers,Burnin' Up,2008,16,5
156,TRMHXUO128F9322178,SODYJYD12AB01855E3,Sneaker Pimps,6 Underground,1996,22,45
157,TRWFNPO128F9322176,SOMOKUU12AB01855DE,Sneaker Pimps,6 Underground,1996,22,45
158,TRGRVTF128F92FD4B5,SOMGGVU12AB0181A65,Sneaker Pimps,6 Underground,1996,22,45
159,TRCMNJL128F42B9CA2,SOJHLGL12A8C141B02,Sneaker Pimps,6 Underground,1996,22,45
160,TRFZBDJ128F9322179,SOYJNMM12AB01855E8,Sneaker Pimps,6 Underground,1996,22,45
161,TRNSSDL128F9322177,SOVZBIC12AB01855E0,Sneaker Pimps,6 Underground,1996,22,45
162,TRJEVGM128F42B9CBD,SOLYMMT12A8C141B3F,Sneaker Pimps,6 Underground,1996,22,45
163,TRDPRSF128F92F0089,SOSHQSO12A58A785B3,Sneaker Pimps,6 Underground,1996,22,45
164,TRMHXKZ128F92EC205,SOGJWGP12AB017C1C4,Taylor Swift,Love Story,2008,49,4
165,TRMKAVS128F92F81F8,SOBOHYB12AB0183153,Taylor Swift,Love Story,2008,49,4
166,TRWQQUM12903CB29A4,SOEOXSO12AB01880DC,Taylor Swift,Love Story,2008,49,4
167,TRWDQOL128F92EC1F1,SOVRDQM12A8C143954,Taylor Swift,Love Story,2008,49,4
168,TRQWBBJ128F92FD6F7,SOMAPRO12A8C13DFDC,Taylor Swift,Love Story,2008,49,4
169,TRTIOAY128F9322C81,SOZFJMN12AB0182A0D,Taylor Swift,Love Story,2008,49,4
170,TRLIFLY128F92FD702,SOZRRTG12A8C143952,Taylor Swift,Love Story,2008,49,4
171,TRSDRPY128F933E202,SOTWSXL12A8C143349,Taylor Swift,Love Story,2008,49,4
172,TRVKNWW128F92FDD3F,SOIEYSL12AAF3B204E,Taylor Swift,Love Story,2008,49,4
173,TROPUMP128F92EC162,SOTWSXL12A8C143349,Taylor Swift,Love Story,2008,49,4
174,TRKSOZB12903CB52C2,SOZFJMN12AB0182A0D,Taylor Swift,Love Story,2008,49,4
175,TRMHYFM12903CD6C17,SOCEJQC12AB018DA26,Kanye West,Stronger,2007,27,1
176,TRHNCIR128F42334A5,SOBXHDL12A81C204C0,Kanye West,Stronger,2007,27,1
177,TRZYGRK128F932A279,SOONJSF12AB0187C56,Kanye West,Stronger,2007,27,1
178,TRUATNS128F423457D,SOBXHDL12A81C204C0,Kanye West,Stronger,2007,27,1
179,TRLCDPR128F42B63BC,SOWFAZC12A8C13D4B9,Kanye West,Stronger,2007,27,1
180,TRLYHYF128F9301D44,SORFASW12A81C22AE7,Kanye West,Stronger,2007,27,1
181,TRSLFVA128F429F837,SOUVZKT12A8C13EF90,Kanye West,Stronger,2007,27,1
182,TRMHYTH128F92E67EB,SOMIZXC12AB017B79C,Brad Paisley Duet With Keith Urban,Start A Band,2008,16,55
183,TRMCWIL128F4228CE9,SOJNLRD12A6D4FEA3F,Southside Johnny & The Asbury Jukes,I'm So Anxious,1980,4,71
184,TRMCGOG12903CDEAF8,SOESIQD12AF72A3AD6,Nina Simone,Trouble In Mind,1960,2,92
185,TRMCGJC128E0793D73,SOGREEV12A6D4F91A6,Rainbow,Since You Been Gone,1979,8,57
186,TRBIQPU128F429034F,SOHBJKZ12A6701C2E5,Rainbow,Since You Been Gone,1979,8,57
187,TRSJGUU128E0784807,SOOHYTB12A6701E061,Rainbow,Since You Been Gone,1979,8,57
188,TRMCGJQ128F14A242B,SOJGYOE12A6D4F9942,Ashley Tisdale,He Said She Said,2007,8,58
189,TRMCRHR128F9309CFC,SOBNKEZ12AB0183DCC,J.J. Barnes,Real Humdinger,1966,5,80
190,TRMCRRZ128F93428C6,SODGUUH12A6D4F9343,Manfred Mann's Earth Band,Blinded By The Light,1976,20,1
191,TRCDDCG12903CEEF7B,SOGQPCD12AB017F327,Manfred Mann's Earth Band,Blinded By The Light,1976,20,1
192,TRMCZPO128F427F244,SOPUWIT12A8C13839D,Bobby Vinton,L-O-N-E-L-Y,1965,8,22
193,TRMCAWF128F42920DB,SOHXZXU12A8C13B85A,Skeeter Davis,(I Can't Help You) I'm Falling Too,1985,7,39
194,TREUUZW128F428A1C0,SOSDBXQ12A8C138893,Skeeter Davis,(I Can't Help You) I'm Falling Too,1985,7,39
195,TRKHABD128F92F07E2,SOJEWAH12A58A78FDE,Skeeter Davis,(I Can't Help You) I'm Falling Too,1985,7,39
196,TRMCALU128F92D5BBF,SOVPRYM12A8C145240,Lesley Gore,Judy's Turn To Cry,1963,11,5
197,TRDRFLI128F92C94CB,SOWNHGI12A8C141539,Lesley Gore,Judy's Turn To Cry,1963,11,5
198,TRXRRKF128F92F120C,SODEURN12A8C14313C,Lesley Gore,Judy's Turn To Cry,1963,11,5
199,TRMCAFT12903CDCD25,SOUBZUK12A8C142106,Darryl Worley,Sounds Like Life To Me,2009,11,84
200,TRMCNHH12903CE393A,SOGYIIC12AB0186784,Jan & Dean,Baby Talk,1989,12,10
201,TRAKZAD128F934A8A1,SOUZEFG12AB0183A39,Jan & Dean,Baby Talk,1989,12,10
202,TRMCPIT128F147ADB0,SOAXAXA12A6D4F73C2,Rihanna,SOS,2006,28,1
203,TRHTEUK128F146E6D5,SOCGTIM12D021B1834,Rihanna,SOS,2006,28,1
204,TRCTXZB128F9310857,SOCCUCU12AB0182D45,Rihanna,SOS,2006,28,1
205,TRCYTVT128F427F600,SOXHAAV12A8C13CD0D,Rihanna,SOS,2006,28,1
206,TRIEDUL128F146E4CA,SOCTIAC12A8AE1ADFC,Rihanna,SOS,2006,28,1
207,TRANZLM128F92F741E,SOAOPVN12AAF3B1856,Rihanna,SOS,2006,28,1
208,TRXTWMH128F146E4CB,SOOTSMO12A6D4F978E,Rihanna,SOS,2006,28,1
209,TRXXPYC128F92F2BFA,SOLADVG12D021994D4,Rihanna,SOS,2006,28,1
210,TRMCUFM128F92E1732,SOTAWNJ12A8C13FEFC,Jean Knight,Mr. Big Stuff,1971,16,2
211,TRWYYRS12903CBCA26,SOHDIZG12AB0188650,Jean Knight,Mr. Big Stuff,1971,16,2
212,TRQNPXM128F4230805,SOJISMX12A81C2153D,Jean Knight,Mr. Big Stuff,1971,16,2
213,TRPUKHD128F933855F,SOPDDNP12A8C14266F,Jean Knight,Mr. Big Stuff,1971,16,2
214,TRJPDSF12903CDFCA7,SOMSMBM12A6D4FCB7F,Jean Knight,Mr. Big Stuff,1971,16,2
215,TRJSYVM128F9319068,SOCVXCG12A8C138685,Jean Knight,Mr. Big Stuff,1971,16,2
216,TRVHOZT128F92F1569,SOZVONB12A8C142674,Jean Knight,Mr. Big Stuff,1971,16,2
217,TRMCUMJ12903CDFEC9,SOHDHSC12AB018AF14,The Rattles,The Witch,1988,5,79
218,TRGXQKS12903C9B01D,SOJTTOY12A6D4F9808,The Rattles,The Witch,1988,5,79
219,TRMCEZP128F429D33C,SOMJCGY12A8C13C9BC,The Brecker Brothers,Sneakin' Up Behind You,1975,9,58
220,TRJBBSH128F92F84F6,SODWFNH12AB018022B,The Brecker Brothers,Sneakin' Up Behind You,1975,9,58
221,TRMCJNX128F1456BE6,SODZFOT12A6D4F7340,Neil Diamond,Two-Bit Manchild,1970,6,66
222,TRMCJFC128F92F0CE1,SOCMSHR12A58A7D57F,The Bachelors,I Wouldn't Trade You For The World,2004,6,69
223,TRKJLTZ128F146DB7D,SORGOTP12A6D4F6BF9,The Bachelors,I Wouldn't Trade You For The World,2004,6,69
224,TRMCOIB128E078F56C,SOSUBWD12D02193054,Etta James,My Dearest Darling,1960,13,34
225,TRBFTHL128C7196B42,SODJRCC12D02192374,Etta James,My Dearest Darling,1960,13,34
226,TRMCYUT128F4259E78,SOBZMOI12A8AE4827F,Sade,By Your Side,2000,11,75
227,TRVWZET128F42A0E05,SOPXIGC12A8C13DDF9,Sade,By Your Side,2000,11,75
228,TRMCYQJ128F426EAEC,SOKIDML12A8C13527A,The Doobie Brothers,Takin' It To The Streets,1976,14,13
229,TRMCYKO128F42B1543,SODWRYK12A8C14085F,The Fiestas,So Fine,1988,16,11
230,TRXCXUA128F935A345,SORAITJ12A58A811CB,The Fiestas,So Fine,1988,16,11
231,TRMRWUH128F421C089,SOZIJOC12A6D4FD087,The Jazz Crusaders,Way Back Home,1970,3,90
232,TRPIQAM128F931B64B,SOYFVHQ12AB0181169,The Jazz Crusaders,Way Back Home,1970,3,90
233,TRMRWJW128F93236F7,SOVZUPF12AF72A9117,Brad Paisley,Welcome To The Future,2009,16,42
234,TRJKXFH128F93236FB,SOQLLMJ12AB017F515,Brad Paisley,Welcome To The Future,2009,16,42
235,TRMRWFW128F93001E3,SODBKOU12AB0180E5C,Fairground Attraction,Perfect,1988,6,80
236,TRRTHCE128F42940EF,SOQJMIV12A8C1394C6,Fairground Attraction,Perfect,1988,6,80
237,TRQKJFS128F425F6A7,SOKQMVU12A58A7A44F,Fairground Attraction,Perfect,1988,6,80
238,TRMRHBY12903C9FFFD,SOVRZOW12A6D4FCB78,R. Dean Taylor,Indiana Wants Me,1970,15,5
239,TRWHAHN128F931B5ED,SORAAQR12AB0187100,R. Dean Taylor,Indiana Wants Me,1970,15,5
240,TRGEJHP128F93297F0,SOUPNBQ12AB0185EF6,R. Dean Taylor,Indiana Wants Me,1970,15,5
241,TRNKJZV128F92F16A8,SOIZCGM12A8C1437BA,R. Dean Taylor,Indiana Wants Me,1970,15,5
